Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid
Acerola,Fruits,0.012,32.0,7.7,0.0,8.999999999999999e-05,0.3,1.1,1.4e-05,0.0002,0.018,0.08,6.6,0.0,0.0,0.0,0.011,0.09,0.146,0.4,0.07,6e-07,0.007,0.0,767.0,3.8e-05,2e-05,0.0,6e-05,0.0004,0.00031,1e-05,1.678,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,Fruits,0.006,52.0,14.0,0.0,3e-05,0.17,2.4,3e-06,0.0001199999999999,0.005,0.01,11.0,0.0,0.0,0.0,0.011,0.05,0.107,0.26,0.03,0.0,0.001,0.0,54.0,3e-06,2e-05,0.0,3e-05,8.999999999999999e-05,6e-05,4e-05,0.0046,4e-05,0.0034,5.9,1e-05,1e-05,1e-05,1e-05,4e-05,0.0,1e-05,0.05,10.0,1e-05,0.0,1e-05,0.0,0.0001799999999999,2.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apricot,Fruits,0.013,48.0,11.0,0.0,8e-05,0.39,2.0,9e-06,0.00039,0.01,0.17,9.1,0.0,0.0,0.0,0.023,0.08,0.259,1.4,0.03,1.0000000000000001e-07,0.001,0.0,1279.0,9.6e-05,3e-05,0.0,4e-05,0.0006,0.0002399999999999,5e-05,0.01,0.0002,0.0028,0.94,3e-05,4e-05,8e-05,0.0001,8e-05,1e-05,5e-05,0.0,9.2,5e-05,2e-05,5e-05,0.0,0.00089,3.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dried fruit,Fruits,0.055,241.0,63.0,0.0,0.00034,0.51,7.3,1e-05,0.0027,0.032,0.07,55.0,0.0,0.0,0.0,0.071,0.07,1.162,3.4,0.02,2.2e-06,0.01,0.0,3604.0,0.00018,2e-05,0.0,7.000000000000001e-05,0.0026,0.00052,0.00014,0.001,0.00039,0.014,12.0,5e-05,6e-05,0.00011,8e-05,0.0002399999999999,2e-05,6e-05,0.35,53.0,7.000000000000001e-05,2e-05,8e-05,0.0,0.0043,3.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avocado,Fruits,0.012,160.0,8.5,0.0,0.00019,15.0,6.7,8.1e-05,0.00055,0.029,9.8,1.8,0.0,0.0,0.0,0.052,1.8,0.485,2.0,2.1,4.0000000000000003e-07,0.007,0.0,146.0,7e-06,7.000000000000001e-05,0.0,0.00013,0.0017,0.0014,0.00026,0.01,0.00064,0.014,0.12,5e-05,8e-05,0.00014,0.00013,0.00014,4e-05,0.0001,0.11,0.66,7.000000000000001e-05,3e-05,0.00011,0.0,0.0021,2.1e-05,0.11,0.0,0.02,0.0,0.0,0.0,0.0
Banana,Fruits,0.005,89.0,23.0,0.0,8e-05,0.33,2.6,2e-05,0.00026,0.027,0.03,20.0,0.0,0.0,0.0,0.022,0.07,0.358,1.1,0.11,1e-06,0.001,0.0,64.0,3e-06,3e-05,0.0,7.000000000000001e-05,0.00067,0.00033,0.00037,0.0087,0.00015,0.0098,4.9,8e-05,3e-05,7.000000000000001e-05,5e-05,0.00027,1e-05,5e-05,5.4,12.0,3e-05,1e-05,5e-05,0.0,0.0001,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blackberry,Fruits,0.029,43.0,9.6,0.0,0.00017,0.49,5.3,2.5e-05,0.00062,0.02,0.05,4.3,0.0,0.0,0.0,0.022,0.28,0.162,1.4,0.01,4.0000000000000003e-07,0.001,0.0,214.0,1.1e-05,2e-05,0.0,3e-05,0.00065,0.00028,3e-05,0.021,0.00053,0.0085,2.4,0.0,0.0,0.0,0.0,0.00065,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0012,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blueberry,Fruits,0.006,57.0,14.0,0.0,6e-05,0.33,2.4,6e-06,0.00028,0.006,0.05,12.0,0.0,0.0,0.0,0.012,0.15,0.077,0.74,0.03,1.0000000000000001e-07,0.001,0.0,54.0,3e-06,4e-05,0.0,4e-05,0.0004199999999999,0.0001199999999999,5e-05,0.0096999999999999,0.00016,0.006,5.0,1e-05,2e-05,4e-05,1e-05,0.00034,1e-05,3e-05,0.03,10.0,2e-05,0.0,3e-05,0.0,0.00057,1.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boysenberries,Fruits,0.027,50.0,12.0,0.0,8e-05,0.26,5.3,6.3e-05,0.00085,0.016,0.03,6.9,0.0,0.0,0.0,0.027,0.15,0.139,1.1,0.01,2.0000000000000002e-07,0.001,0.0,67.0,3e-06,5e-05,0.0,4e-05,0.00077,0.00025,6e-05,0.0031,0.00022,0.01,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.00087,7.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breadfruit,Fruits,0.017,103.0,27.0,0.0,8e-05,0.23,4.9,1.4e-05,0.00054,0.025,0.03,22.0,0.0,0.0,0.0,0.03,0.07,0.49,1.1,0.05,6e-07,0.002,0.0,0.0,0.0,0.00011,0.0,3e-05,0.0009,0.00046,0.0001,0.029,0.0001199999999999,0.0098,0.0,0.0,6e-05,7.000000000000001e-05,4e-05,6e-05,1e-05,3e-05,0.0,11.0,5e-05,0.0,5e-05,0.0,0.0001,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
