name,Calories_Kcal,Carbs_g,Cholesterol_mg,Fats_g,Fiber_g,Protein_g,Sugars_g,img_src,url
Apple-Cranberry Crostada,418.0,60.0,19.0,18.0,5.0,4.0,40.0,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/
Apple Pie by Grandma Ople,387.0,52.0,31.0,19.0,3.0,2.0,0.0,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/
Sarah's Homemade Applesauce,128.0,32.0,0.0,0.0,4.0,0.0,27.0,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/
Apple Crisp,324.0,61.0,20.0,8.0,3.0,2.0,44.0,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/
Apple Pie Filling,132.0,33.0,0.0,0.0,1.0,0.0,28.0,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,https://www.allrecipes.com/recipe/12681/apple-pie-filling/
Easy Apple Crisp with Oat Topping,641.0,99.0,61.0,25.0,8.0,5.0,63.0,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/
Easy Apple Cider,172.0,43.0,0.0,0.0,1.0,0.0,38.0,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,https://www.allrecipes.com/recipe/42022/easy-apple-cider/
Apple-Cranberry Crisp,288.0,43.0,15.0,12.0,4.0,2.0,32.0,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/
Old-Fashioned Apple Dumplings,927.0,148.0,41.0,35.0,7.0,5.0,115.0,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/
Southern Fried Apples,391.0,45.0,61.0,23.0,5.0,1.0,39.0,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,https://www.allrecipes.com/recipe/230907/southern-fried-apples/
Apple Turnovers,574.0,80.0,8.0,26.0,2.0,5.0,50.0,https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg,https://www.allrecipes.com/recipe/59124/apple-turnovers/
Apple Crisp - Perfect and Easy,376.0,56.0,41.0,16.0,2.0,2.0,38.0,https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg,https://www.allrecipes.com/recipe/229274/apple-crisp-perfect-and-easy/
The Best Caramel Apples,840.0,142.0,78.0,28.0,5.0,5.0,113.0,https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg,https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/
Mulligatawny Soup,228.0,14.0,62.0,16.0,1.0,7.0,3.0,https://www.allrecipes.com/thmb/c5rvXd4iW32dqTECe4PNisvQVDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804799-33945c287a0d46b4acce8f0247ebf88c.jpg,https://www.allrecipes.com/recipe/13087/mulligatawny-soup-i/
Sauteed Apples,150.0,24.0,15.0,6.0,3.0,0.0,20.0,https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg,https://www.allrecipes.com/recipe/21672/sauteed-apples/
